Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2015,"Rosell Herrera","COL","A+",22,512,0.072265625,0.189453125,0.381443298,0.259656652,0.314229249,0.354077253,0.668306502,0.094420601,5.262317489982558,0.318801089,-1.6389777134754695,54.84072582578443,-10.359377933981195,0.301215356164299,88.31351594140409,"11611"
2015,"Yefri Perez","MIA","A+",24,563,0.055062166,0.168738898,0.326315789,0.239845261,0.286486486,0.2688588,0.555345286,0.029013539,7.082019044391025,0.290094339,6.331462427740917,40.56561083667917,-16.46230905926781,0.2690877481623813,75.86351382324871,"12090"
2015,"Dillon Thomas","COL","A+",22,437,0.050343249,0.327231121,0.153846153,0.2481203,0.294392523,0.38095238,0.675344903,0.13283208,7.041757600847016,0.369047619,-0.06453079706989229,46.08238734876236,-9.566919961818844,0.29920972270943297,87.00968082207407,"12719"
2015,"Mitch Walding","PHI","A+",22,461,0.104121475,0.253796095,0.41025641,0.23325062,0.318082788,0.315136476,0.633219264,0.081885856,3.394364078376567,0.314685314,-0.7169097072910517,45.2420956559279,-1.4539453245899667,0.3070194209767221,98.47510662875474,"13006"
2016,"Mitch Walding","PHI","A+",23,416,0.125,0.266826923,0.468468468,0.28,0.371980676,0.44,0.811980676,0.16,3.7876751488740914,0.371308016,-0.8707193778827786,62.18072276709832,16.862976127846608,0.37579147908294086,137.80165419334503,"13006"
2015,"Omar Narvaez","CHW","A+",23,385,0.103896103,0.08051948,1.29032258,0.274336283,0.3515625,0.312684365,0.664246865,0.038348082,2.1133618303571415,0.296774193,-0.2904628380201757,41.643704824212925,-0.14285790168867304,0.3182226511268018,94.0916131431005,"13338"
2015,"Carson Kelly","STL","A+",20,419,0.052505966,0.15274463,0.34375,0.218508997,0.262529832,0.331619537,0.594149369,0.11311054,1.4067460275,0.239130434,-0.19468463980592787,34.13062125046421,-8.311116647229905,0.2827629495349875,84.52714928142908,"13620"
2015,"Jack Lopez","KCR","A+",22,487,0.065708418,0.180698151,0.363636363,0.237762237,0.299363057,0.319347319,0.618710376,0.081585082,4.430277975283163,0.284023668,-1.6789554236456752,43.69746382003489,-9.159824615066618,0.2929109237295516,86.76584729154541,"13663"
2016,"Elier Hernandez","KCR","A+",21,546,0.054945054,0.219780219,0.25,0.226,0.280733944,0.31,0.590733944,0.084,5.050122766737685,0.289817232,-1.030837838537991,41.76979701235356,-23.728815957760197,0.27580717364582447,67.6909134915768,"13750"
2016,"Tomas Nido","NYM","A+",22,370,0.051351351,0.113513513,0.452380952,0.319767441,0.356756756,0.459302325,0.816059081,0.139534884,2.325738374240262,0.344481605,-0.48257397999987006,55.58284635105827,15.27619669595458,0.37682360910080576,135.3798303925666,"13755"
2015,"Tim Lopes","SEA","A+",21,547,0.074954296,0.175502742,0.427083333,0.276150627,0.339587242,0.361924686,0.701511928,0.085774059,6.6985920940055514,0.336787564,-0.8366317746113054,65.74392559909133,-3.91321650362702,0.31702633526988494,94.4532752216402,"14137"
2016,"Anthony Alford","TOR","A+",21,401,0.132169576,0.291770573,0.452991452,0.2359882,0.34413965,0.37758112,0.72172077,0.14159292,6.038036093628028,0.32718894,1.1863964654039592,50.40575687374859,6.722063598892971,0.34312039108347714,109.25875840415242,"14329"
2015,"Raimel Tapia","COL","A+",21,593,0.040472175,0.177065767,0.228571428,0.305147058,0.332764505,0.466911764,0.799676269,0.161764706,7.020676130060742,0.35,0.8845302573754452,84.59640286392485,9.081438939040059,0.3441875372497336,116.24914830606308,"14350"
2015,"Joey Meneses","ATL","A+",23,433,0.073903002,0.184757505,0.4,0.23857868,0.297921478,0.327411167,0.625332645,0.088832487,3.3599993520944755,0.288888888,-0.776386309415102,39.384323071764854,-7.611992929054348,0.2945981526760251,85.73624420655537,"14366"
