Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2015,"Sergio Alcantara","ARI","A-",18,287,0.083623693,0.160278745,0.52173913,0.252918287,0.314487632,0.326848249,0.641335881,0.073929962,5.962349673594097,0.301886792,0.7449324242770672,30.073075553213993,-4.292300703192316,0.30692451244529484,93.50731209765341,"16417"
2015,"Thairo Estrada","NYY","A-",19,279,0.082437275,0.107526881,0.766666666,0.267206477,0.338129496,0.360323886,0.698453382,0.093117409,4.6004616519925365,0.293577981,0.38998030140646733,33.86384687541673,2.5276232954735494,0.33179696400960285,109.49137974839473,"16426"
2015,"Kevin Padlo","COL","A-",18,308,0.146103896,0.201298701,0.725806451,0.294117647,0.403908794,0.501960784,0.905869578,0.207843137,7.358166114515254,0.352941176,3.937954569235444,58.48275160613917,21.60283562365435,0.4197401470392457,150.3491920142166,"16593"
2015,"Miguel Gomez","SFG","A-",22,284,0.017605633,0.084507042,0.208333333,0.318840579,0.330985915,0.442028985,0.7730149,0.123188406,2.2700348050947206,0.330645161,-0.8694051075726748,40.60453281802019,6.59837652248224,0.35755472787669007,111.1869292245323,"17075"
2015,"Luis Liberato","SEA","A-",19,215,0.111627906,0.218604651,0.510638297,0.259668508,0.341346153,0.453038674,0.794384827,0.193370166,7.995009352234107,0.318181818,0.4249111358076334,32.18952968348411,6.445432487918412,0.36649705125735355,121.87430700135553,"17307"
2015,"Willi Castro","CLE","A-",18,301,0.033222591,0.102990033,0.322580645,0.263736263,0.303754266,0.329670329,0.633424595,0.065934066,7.179441133628469,0.290983606,1.2051335395080969,30.032971959444353,-3.774208318558862,0.3019345284728874,89.47618630108215,"17338"
2015,"Kelvin Gutierrez","WSN","A-",20,261,0.061302681,0.199233716,0.307692307,0.30543933,0.357692307,0.414225941,0.771918248,0.108786611,4.152908040664651,0.385026737,0.37884207390015945,37.95968766522553,8.645155929149654,0.36506774700604955,128.80413695386096,"17468"
2015,"Eloy Jimenez","CHC","A-",18,250,0.06,0.172,0.348837209,0.284482758,0.328,0.418103448,0.746103448,0.13362069,3.506779478197309,0.320652173,-0.6406956780701876,33.95490284363337,4.019906104603486,0.34807008743286133,120.7057159144992,"17484"
2015,"Kevin Kramer","PIT","A-",21,209,0.119617224,0.133971291,0.892857142,0.305084745,0.390243902,0.378531073,0.768774975,0.073446328,7.118343971991244,0.357615894,0.194902065617498,30.9977537077961,7.523665076225761,0.3690430414385912,128.01437398931225,"17689"
2015,"Steven Duggar","SFG","A-",21,267,0.131086142,0.194756554,0.673076923,0.292576419,0.389513108,0.366812227,0.756325335,0.074235808,4.707751984456319,0.372881355,-0.614921797066927,39.859619150023654,7.889042632739735,0.3659246135293768,116.45718661823051,"17719"
2015,"Skye Bolt","OAK","A-",21,206,0.116504854,0.213592233,0.545454545,0.23756906,0.325242718,0.381215469,0.706458187,0.143646409,4.977563138854255,0.291044776,-0.011097809940110892,25.46640398354354,2.3292639926177503,0.33490443142448983,113.7274774744948,"17723"
2015,"Richie Martin","OAK","A-",20,226,0.110619469,0.207964601,0.531914893,0.236842105,0.352678571,0.342105263,0.694783834,0.105263158,6.738495306299866,0.304964539,-1.3918439375120215,28.54984083908403,3.166376577194575,0.3386422120402212,116.1362304759376,"17736"
2016,"Josh Lester","DET","A-",21,249,0.096385542,0.128514056,0.75,0.292792792,0.365461847,0.432432432,0.797894279,0.13963964,3.5293513899999995,0.333333333,-0.17649146472103894,37.641733675284556,10.796085014028721,0.379443685931853,146.5289320148147,"17737"
2015,"DJ Stewart","BAL","A-",21,268,0.085820895,0.19402985,0.442307692,0.218487394,0.288389513,0.344537815,0.632927328,0.126050421,4.921177438454523,0.25,0.3855773781251628,26.66851842681979,-3.432226804093372,0.3015640998601021,90.82962320563527,"17766"
2015,"Braden Bishop","SEA","A-",21,248,0.02016129,0.133064516,0.151515151,0.319634703,0.367088607,0.392694063,0.75978267,0.07305936,6.418965363843778,0.367567567,0.8711720928549767,36.208063636465745,6.512546871348102,0.3615672173379343,118.77014348686552,"17806"
2015,"Drew Jackson","SEA","A-",21,266,0.112781954,0.131578947,0.857142857,0.358407079,0.432432432,0.446902654,0.879335086,0.088495575,8.216453083705657,0.413612565,7.121544314548373,49.73308490951961,17.88224837919181,0.4158787554755634,152.9684345162156,"17807"
2015,"Luis Alexander Basabe","BOS","A-",18,256,0.125,0.26171875,0.47761194,0.243243243,0.33984375,0.4009009,0.74074465,0.157657657,7.509383789632657,0.315436241,1.3952043396711815,34.98723771853811,6.234287050203152,0.35294147417880595,112.99462386219695,"17839"
2015,"Cedric Mullins","BAL","A-",20,309,0.071197411,0.106796116,0.666666666,0.263537906,0.333333333,0.375451263,0.708784596,0.111913357,7.459616023295872,0.293388429,1.7918795277364552,39.01960560007189,4.313895613683213,0.33857351171424965,114.67974739701117,"17929"
2015,"Ty France","SDP","A-",20,292,0.147260273,0.171232876,0.86,0.293617021,0.424657534,0.391489361,0.816146895,0.09787234,3.16497593425622,0.365591397,-0.6743790339678526,50.26567284632974,15.301596655142841,0.39622594007890516,150.44044484409372,"17982"
2015,"Mark Mathias","CLE","A-",20,294,0.119047619,0.122448979,0.972222222,0.281632653,0.382252559,0.408163265,0.790415824,0.126530612,5.1313503261085955,0.316037735,-0.6105385574046522,45.11515179249583,12.094185009329896,0.3761473257387051,137.3014378439757,"18032"
2015,"Jake Cronenworth","TBR","A-",21,234,0.132478632,0.252136752,0.525423728,0.290816326,0.39914163,0.397959183,0.797100813,0.107142857,6.64519219066097,0.408759124,-0.39486648433376104,36.904102929046914,10.622108958771987,0.3820330513448551,140.46301762186835,"18036"
2015,"Dylan Moore","TEX","A-",22,269,0.115241635,0.241635687,0.476923076,0.254385964,0.364312267,0.438596491,0.802908758,0.184210527,6.619978181115879,0.324840764,1.7428940553218126,42.72446926911301,10.51441277791685,0.37857247905660296,132.58410284672024,"18042"
2015,"Austin Allen","SDP","A-",21,222,0.094594594,0.171171171,0.552631578,0.239795918,0.315315315,0.331632653,0.646947968,0.091836735,3.1977423699311016,0.283018867,-0.9914991874247789,23.781393494482998,-2.800883609775541,0.3100256841998916,96.16281731889337,"18083"
2015,"Ka'ai Tom","CLE","A-",21,299,0.110367892,0.153846153,0.717391304,0.282945736,0.373737373,0.403100775,0.776838148,0.120155039,5.902660798890253,0.333333333,0.7934764621313661,44.875560459216835,11.293012608309992,0.3714914847704698,134.30105551568252,"18136"
2015,"Seth Brown","OAK","A-",22,267,0.093632958,0.191011235,0.490196078,0.288702928,0.355805243,0.430962343,0.786767586,0.142259415,5.882434132258845,0.352941176,0.38687207124894485,39.78087267000319,9.792443652638207,0.3699796561444743,136.33114566865166,"18171"
2015,"Joe McCarthy","TBR","A-",21,214,0.084112149,0.107476635,0.782608695,0.277173913,0.361904761,0.336956521,0.698861282,0.059782608,7.219821089228545,0.314814814,2.39179386824253,27.311338162211662,3.275668462900405,0.34043456287611096,113.65553632324621,"18399"
2017,"Curtis Terry","TEX","A-",20,244,0.028688524,0.245901639,0.116666666,0.257641921,0.303278688,0.467248908,0.770527596,0.209606987,3.5587687591286246,0.299363057,0.7089393483474851,35.17267315922665,4.60174071131634,0.350712458862633,117.85797494716374,"18881"
2018,"Curtis Terry","TEX","A-",21,290,0.110344827,0.220689655,0.5,0.337398373,0.434482758,0.605691056,1.040173814,0.268292683,3.9617376535271087,0.404761904,-0.3144788056379184,65.35263060710827,30.22934354029099,0.4574578628722799,188.7160664688516,"18881"
2016,"Cavan Biggio","TOR","A-",21,238,0.121848739,0.117647058,1.035714285,0.282178217,0.382352941,0.366336633,0.748689574,0.084158416,6.025219259339566,0.323863636,0.23008823627606034,34.84602036266565,5.225018120696539,0.36516346650965076,119.68927923857753,"19252"
2016,"Jake Fraley","TBR","A-",21,239,0.10878661,0.142259414,0.764705882,0.237864077,0.338912133,0.364077669,0.702989802,0.126213592,8.97956252101554,0.279069767,2.996354967355728,29.57856759049074,3.8110574296869433,0.340487930066416,114.29950590738049,"19260"
2016,"Garrett Hampson","COL","A-",21,312,0.153846153,0.179487179,0.857142857,0.30078125,0.403846153,0.44140625,0.845252403,0.140625,8.509284625174564,0.365853658,5.1122533665038645,53.55332196590367,14.722428270549207,0.39797775155095044,129.82230888681693,"19262"
2016,"Will Craig","PIT","A-",21,274,0.149635036,0.135036496,1.108108108,0.279816513,0.412408759,0.362385321,0.77479408,0.082568808,2.7808762250732215,0.322404371,0.13921411032788455,41.914547959145445,12.373553046759506,0.3820033891357645,137.87838578321168,"19267"
2015,"Stone Garrett","MIA","A-",19,247,0.076923076,0.242914979,0.316666666,0.297297297,0.35222672,0.581081081,0.933307801,0.283783784,6.715005324143872,0.354838709,-0.39534007737529464,46.20192614909923,18.45982140269792,0.42260249213474554,167.65788980609244,"19273"
2016,"Nick Solak","NYY","A-",21,279,0.107526881,0.139784946,0.769230769,0.320833333,0.412186379,0.420833333,0.833019712,0.1,6.067821765947031,0.371859296,1.3418483291752636,46.59601938159224,16.51595521898028,0.40195316183097046,157.23073802840594,"19294"
2016,"Eli White","OAK","A-",22,267,0.097378277,0.243445692,0.4,0.278969957,0.348314606,0.360515021,0.708829627,0.081545064,5.668480436158965,0.366279069,1.0468794030603021,33.05074155341593,4.264443591346416,0.3405246687739083,114.83987408301881,"19346"
