Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2015,"Ildemaro Vargas","ARI","A",23,384,0.091145833,0.041666666,2.1875,0.321428571,0.385224274,0.4375,0.822724274,0.116071429,5.288173040588169,0.321875,-0.6588416055310518,60.10601680750122,17.167429618780517,0.3811930080570241,138.27196826600976,"13324"
2015,"Franmil Reyes","SDP","A",19,509,0.09037328,0.178781925,0.505494505,0.254945054,0.320235756,0.393406593,0.713642349,0.138461539,5.658713929605821,0.297520661,-0.06954280124045908,60.88447652576039,3.9684846532113287,0.33114991768872576,103.04607716948384,"14566"
2015,"Franchy Cordero","SDP","A",20,524,0.059160305,0.23091603,0.256198347,0.243243243,0.292870905,0.305613305,0.59848421,0.062370062,5.188763281918332,0.312849162,-0.03287097462452948,43.88616049705344,-14.70711993755502,0.282525766633696,70.9552890583528,"14567"
2015,"Yu Chang","CLE","A",19,440,0.061363636,0.234090909,0.262135922,0.231552162,0.29330254,0.361323155,0.654625695,0.129770993,5.077578154320572,0.287719298,-1.4407715103588998,44.65642236688822,-4.544042120187587,0.3065772941701682,91.57347335625472,"14773"
2015,"Dom Nunez","COL","A",20,441,0.120181405,0.124716553,0.963636363,0.28150134,0.373271889,0.447721179,0.820993068,0.166219839,3.0578222446811774,0.297734627,-1.7734807531815022,70.03117129751762,18.081181904164147,0.37776525039871073,120.05325845419064,"15055"
2015,"Victor Reyes","ARI","A",20,458,0.048034934,0.126637554,0.379310344,0.311320754,0.342920353,0.389150943,0.732071296,0.077830189,6.099616439297039,0.352303523,0.9171745651401579,57.43620725601813,6.222996494471041,0.33900098089632597,110.42622959057857,"15487"
2015,"Justin Williams","TBR","A",19,406,0.032019704,0.187192118,0.171052631,0.284237726,0.307881773,0.413436692,0.721318465,0.129198966,3.9504687726070973,0.334415584,0.12895548506639898,48.6780900093649,3.2794795962904066,0.33153077167243206,109.20023015878601,"15490"
2015,"Jose Marmolejos","WSN","A",22,521,0.067178502,0.170825335,0.393258426,0.309829059,0.362763915,0.485042735,0.84780665,0.175213676,4.4676711951594,0.355437665,-0.11987610813230276,84.47980656563519,23.105782815210816,0.3821487164910818,138.36247265330206,"15767"
2016,"Yonathan Daza","COL","A",22,516,0.044573643,0.15116279,0.294871794,0.307368421,0.34063745,0.408421052,0.749058502,0.101052631,3.327376394710189,0.361111111,-2.439438156201504,67.20616321768412,8.755936970373481,0.3406099802005791,102.94865448077483,"15794"
2015,"Deivy Grullon","PHI","A",19,424,0.054245283,0.247641509,0.219047619,0.220812182,0.272511848,0.33502538,0.607537228,0.114213198,1.85609243375,0.28113879,-0.20314358943141997,36.711620911823395,-13.2357611806525,0.28322735767793883,82.0125685343852,"15988"
