Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2017,"Slade Heathcott","SFG","AA",26,394,0.093908629,0.223350253,0.420454545,0.262247838,0.339331619,0.435158501,0.77449012,0.172910663,4.839054946682267,0.318548387,-0.7635085987858474,52.3794830208107,6.38518696179829,0.34827831441148693,118.48081031546477,"10336"
2015,"Mike Ohlman","STL","AA",24,417,0.11031175,0.184652278,0.597402597,0.273224043,0.35576923,0.418032786,0.773802016,0.144808743,1.617492108913585,0.315412186,-0.7797503445763141,56.87659188164042,8.51171116334962,0.3535335546242442,113.72207910497545,"10347"
2017,"Jon Singleton","HOU","AA",25,500,0.214,0.264,0.81060606,0.205194805,0.376,0.397402597,0.773402597,0.192207792,2.373173135510833,0.253112033,0.2945543776731938,69.28463984789076,11.618375373498814,0.35503631914846795,123.1183765597317,"10441"
2016,"Joey Terdoslavich","BAL","AA",27,459,0.130718954,0.154684095,0.845070422,0.246192893,0.348583877,0.418781725,0.767365602,0.172588832,1.72240259,0.266881028,0.08078546926844865,61.76945630887288,8.57912160137433,0.3510484879832382,109.84825754527819,"10593"
2019,"Carlos Perez","BAL","AA",28,385,0.051948051,0.135064935,0.384615384,0.251428571,0.302083333,0.434285714,0.736369047,0.182857143,0.8476443712499999,0.255172413,-0.020469529496040195,47.31374744858776,5.65705199327503,0.3293485202615006,106.49369517609219,"10642"
2017,"Mike Olt","BOS","AA",28,448,0.107142857,0.261160714,0.41025641,0.244897959,0.331838565,0.436224489,0.768063054,0.19132653,2.2268415150000003,0.306513409,0.1068166836630553,58.30354479167285,6.005461963151122,0.34475010994303923,107.81891310340362,"10698"
2015,"Lane Adams","KCR","AA",25,414,0.086956521,0.236714975,0.367346938,0.297587131,0.359903381,0.466487935,0.826391316,0.168900804,6.910418307442176,0.372180451,2.994534063851461,62.764754724978815,14.74782278883398,0.37309907671909975,128.99601905729145,"10767"
2015,"Colin Walsh","OAK","AA",25,619,0.200323101,0.211631663,0.946564885,0.301848049,0.447325769,0.470225872,0.917551641,0.168377823,4.791506661232899,0.389534883,-0.15023601683788002,116.97916842742738,45.185736377974116,0.4211738965798667,155.8239354047666,"10961"
2015,"Drew Maggi","LAA","AA",26,483,0.093167701,0.169772256,0.548780487,0.241706161,0.322105263,0.284360189,0.606465452,0.042654028,4.882470363894595,0.298245614,0.48481057467870414,41.4058146549505,-14.613939270551809,0.2883600338064843,80.4445013818793,"11381"
2017,"Kyle Waldrop","SEA","AA",25,464,0.079741379,0.185344827,0.430232558,0.303398058,0.367170626,0.444174757,0.811345383,0.140776699,2.8662445925478552,0.357142857,-0.6968550337478518,68.61617085695794,15.101877424722222,0.366999043759208,137.6507370592791,"11402"
2015,"Willson Contreras","CHC","AA",23,521,0.10940499,0.119001919,0.919354838,0.332599118,0.412667946,0.477973568,0.890641514,0.14537445,3.7332040370427837,0.369509043,-1.0035082179820165,90.72341032902197,32.664581766523874,0.4133818952684897,151.91031442166977,"11609"
2016,"Rosell Herrera","COL","AA",23,494,0.113360323,0.159919028,0.708860759,0.291764705,0.373716632,0.378823529,0.752540161,0.087058824,6.38702789213016,0.344927536,4.052796519594267,64.39940190732453,7.153159324526521,0.3456545752274571,117.1982440207231,"11611"
2015,"Drew Robinson","TEX","AA",23,519,0.159922928,0.267822736,0.597122302,0.231481481,0.360308285,0.453703703,0.814011988,0.222222222,5.978765270041193,0.290441176,-0.8844408404547721,76.69679311562079,16.50165380436677,0.36817564145600284,122.43649680173401,"11761"
2015,"Noel Cuevas","COL","AA",23,444,0.038288288,0.193693693,0.197674418,0.263546798,0.304849884,0.354679802,0.659529686,0.091133004,6.439954079370443,0.323899371,1.4990142555907369,43.6273914885261,-4.958026735808616,0.3029149185728144,88.72853441231554,"11894"
2016,"Yefri Perez","MIA","AA",25,377,0.103448275,0.175066312,0.59090909,0.259146341,0.334224598,0.307926829,0.642151427,0.048780488,7.447630967148617,0.314606741,3.2169761257246137,37.175824551177065,-3.998508067536315,0.3057915292640421,91.57787327313635,"12090"
2015,"David Washington","STL","AA",24,379,0.089709762,0.319261213,0.280991735,0.273529411,0.33773087,0.470588235,0.808319105,0.197058824,2.840394419795561,0.371980676,-1.1264911510515958,54.15446527132477,10.196935793549663,0.36188543000549234,119.29172650021572,"12110"
2015,"Max Kepler","MIN","AA",22,482,0.139004149,0.130705394,1.063492063,0.321867321,0.415800415,0.53071253,0.946512945,0.208845209,7.180906063819242,0.358823529,1.8336342840921134,89.46636773870274,35.75359352157399,0.4287658390009178,158.4030366404827,"12144"
2015,"Jorge Bonifacio","KCR","AA",22,536,0.078358208,0.235074626,0.333333333,0.240165631,0.304672897,0.416149068,0.720821965,0.175983437,3.5696410047264275,0.286956521,-0.5778974113054574,61.65086231632409,-0.5159867604238038,0.3260401267871678,97.61363534744788,"12174"
2023,"Jorge Bonifacio","KCR","AA",30,508,0.12007874,0.198818897,0.603960396,0.266666666,0.354330708,0.48275862,0.837089328,0.216091954,5.195350684106298,0.29283489,0.20268546743318439,80.38309281359683,11.603565566644772,0.36998324116776443,115.30470248462751,"12174"
2016,"Jorge Alfaro","PHI","AA",23,435,0.050574712,0.24137931,0.209523809,0.284653465,0.324884792,0.457920792,0.782805584,0.173267327,4.461021024521221,0.347222222,-0.1437375593231991,58.155698477188736,7.7465577413241,0.3499177563849682,109.41536046238821,"12180"
2015,"Brock Stassi","PHI","AA",25,554,0.138989169,0.113718411,1.222222222,0.300429184,0.393501805,0.469957081,0.863458886,0.169527897,2.8934005952591413,0.314070351,-0.3110205933917314,90.28462045857226,29.662274295776236,0.3895654105056416,143.77672003334888,"12244"
2016,"Beau Taylor","OAK","AA",26,401,0.134663341,0.21446384,0.627906976,0.280235988,0.3825,0.398230088,0.780730088,0.1179941,2.040940477777716,0.358565737,-0.19588156398094725,57.31680365464726,12.986689349627879,0.3572165320690413,122.09731983654233,"12384"
2015,"Jason Krizan","DET","AA",26,475,0.107368421,0.090526315,1.186046511,0.265700483,0.342553191,0.386473429,0.72902662,0.120772946,4.562806601257064,0.277173913,0.5686307549476624,58.24520409016024,6.267560719531887,0.33553715707905,109.44759494583725,"12394"
2016,"Jason Krizan","DET","AA",27,406,0.110837438,0.066502463,1.666666666,0.292134831,0.366995073,0.469101123,0.836096196,0.176966292,3.8577135861882965,0.292307692,-0.7459843534743413,61.884887303341124,14.836355949867464,0.3739160998367969,126.48117641994845,"12394"
2015,"Tyler Smith","SEA","AA",23,520,0.117307692,0.163461538,0.717647058,0.270880361,0.361493123,0.354401805,0.715894928,0.083521444,3.647579644928819,0.327731092,0.21575085341464728,63.007466839767666,5.060075568176478,0.34241551032000767,104.86071833968697,"12490"
2015,"Nick Ramirez","MIL","AA",25,501,0.12774451,0.229540918,0.556521739,0.243055555,0.339321357,0.391203703,0.73052506,0.148148148,2.6600186835181185,0.296416938,0.22116593760438263,60.256028831694174,4.42594608733421,0.34121405874459554,108.266652977498,"12575"
2019,"Taylor Featherston","KCR","AA",29,391,0.04859335,0.383631713,0.126666666,0.239554317,0.292307692,0.403899721,0.696207413,0.164345404,5.027925894243499,0.36683417,-2.039778114994988,43.056980057015735,-3.238244386062308,0.3121742450273954,90.93122816674719,"12590"
2016,"Dillon Thomas","COL","AA",23,419,0.066825775,0.231503579,0.288659793,0.288770053,0.352517985,0.425133689,0.777651674,0.136363636,4.135662139885731,0.375451263,-0.5799183257622644,57.018060743838355,8.463049322396326,0.35297930269218464,122.0672318562534,"12719"
2019,"Dillon Thomas","MIL","AA",26,504,0.081349206,0.261904761,0.31060606,0.265033407,0.339285714,0.43429844,0.773584154,0.169265033,6.76651569475643,0.345276872,-0.1054332316853106,69.46924915394776,13.810774410581525,0.35316225501225434,124.61289568882532,"12719"
2015,"Breyvic Valera","STL","AA",23,401,0.084788029,0.06733167,1.259259259,0.236111111,0.300751879,0.297222222,0.597974101,0.061111111,3.0606312698859695,0.245508982,-1.567831511143595,32.065925951835425,-14.443227928343498,0.2809492554282186,65.31750713780298,"12758"
2015,"Brian Goodwin","WSN","AA",24,472,0.080508474,0.197033898,0.40860215,0.226107226,0.290254237,0.34032634,0.630580577,0.114219114,6.118276599957165,0.268882175,0.218872380675748,41.93334565902941,-9.716017858731815,0.2903033413785569,82.18457958884257,"12858"
2015,"Socrates Brito","ARI","AA",22,522,0.055555555,0.16091954,0.345238095,0.3,0.339080459,0.451020408,0.790100867,0.151020408,7.2481731951785235,0.345864661,1.4577518462901935,70.96196686639054,12.79170101298555,0.3622111379528229,119.09208040374402,"12944"
2016,"Phillip Evans","NYM","AA",23,386,0.049222797,0.155440414,0.316666666,0.335180055,0.374025974,0.484764542,0.858790516,0.149584487,2.11642731852843,0.384353741,-0.13548193755559623,62.61588240809587,17.88501269765047,0.3864586523600987,140.40496524374734,"12950"
2015,"Charles Tilson","STL","AA",22,594,0.077441077,0.121212121,0.638888888,0.294990723,0.350847457,0.387755102,0.738602559,0.092764379,7.74316556777687,0.332618025,0.9069794612005353,73.87421325496845,4.980354390064995,0.33806307299607463,103.40521926569832,"12983"
2017,"Mitch Walding","PHI","AA",24,401,0.109725685,0.316708229,0.346456692,0.236467236,0.326683291,0.515669515,0.842352806,0.279202279,4.0836178164996095,0.288557213,-0.1233725028578192,60.010290558855424,13.198836955647362,0.3693249696805293,121.4468232134982,"13006"
2015,"Teoscar Hernandez","HOU","AA",22,514,0.064202334,0.245136186,0.261904761,0.219148936,0.275049115,0.361702127,0.636751242,0.142553191,7.570918103417734,0.261398176,3.4027470545843244,44.89949103527989,-14.715733639064174,0.29045251035314845,76.28772966347273,"13066"
2015,"Josh Bell","PIT","AA",22,427,0.103044496,0.117096018,0.88,0.307065217,0.375886524,0.426630434,0.802516958,0.119565217,5.252837818585595,0.335403726,-0.2461967394920066,60.83048144854491,14.105315723790575,0.36210280855970906,127.92564819295684,"13145"
2017,"Jose Briceno","LAA","AA",24,378,0.06084656,0.193121693,0.315068493,0.193732193,0.242021276,0.316239316,0.558260592,0.122507123,4.894476319855501,0.217712177,0.6192251062311698,23.141115262729297,-17.19680313803517,0.25715541664759317,53.00427892775505,"13151"
2015,"Jorge Polanco","MIN","AA",21,431,0.081206496,0.146171693,0.555555555,0.289340101,0.345707656,0.393401015,0.739108671,0.104060914,5.521772016388077,0.330275229,-0.496764340554364,53.39571844047956,5.36624605960302,0.34605965910267666,104.15652617198637,"13152"
2015,"Tyler Goeddel","TBR","AA",22,533,0.090056285,0.183864915,0.489795918,0.279069767,0.34962406,0.433403805,0.783027865,0.154334038,7.335521193563617,0.326086956,1.8643518008757383,72.44467556963014,13.048599516249173,0.36217931681882637,118.11617746322808,"13180"
2015,"Orlando Arcia","MIL","AA",20,552,0.054347826,0.132246376,0.410958904,0.306640625,0.346715328,0.453125,0.799840328,0.146484375,6.964500588567616,0.343317972,1.6694885973120108,77.20626310590971,15.692878525297527,0.3674687360714733,125.48694570788143,"13185"
2015,"Michael Reed","MIL","AA",22,377,0.140583554,0.212201591,0.6625,0.277955271,0.379310344,0.421725239,0.801035583,0.143769968,7.003708181055345,0.347457627,2.096635749563575,54.10161763070381,12.089758958800196,0.3723447987056793,128.68512730757502,"13228"
2017,"Jacob Wilson","STL","AA",26,503,0.099403578,0.192842942,0.515463917,0.247685185,0.336653386,0.416666666,0.753320052,0.168981481,2.7377783110222147,0.276073619,-1.090447089402005,64.14000270506308,6.127740643824792,0.3408328127861023,107.0747438422924,"13254"
