Season,Name,Team,Level,Age,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,wSB,wRC,wRAA,wOBA,wRC+,PlayerId
2017,"Alfredo Amezaga","MEX","AAA",39,345,0.084057971,0.144927536,0.58,0.28618421,0.358823529,0.368421052,0.727244581,0.082236842,2.8049003922778892,0.33067729,-0.9221406641881913,42.552464032206096,-2.610697424378837,0.34163714384331423,99.64636419490412,"1"
2021,"Christian Bethancourt","PIT","AAA",29,363,0.077134986,0.201101928,0.383561643,0.280966767,0.338842975,0.468277945,0.80712092,0.187311178,3.993813425650225,0.321138211,-0.05118249449878931,53.39286672127251,6.849653338909187,0.3528726439173885,115.04440641305594,"10028"
2018,"Christian Bethancourt","MIL","AAA",26,418,0.047846889,0.181818181,0.263157894,0.296675191,0.327751196,0.506393861,0.834145057,0.20971867,3.8567323464360124,0.318936877,0.6646227520541288,61.606054329347764,7.040671342086946,0.35849562871969487,88.5054519519865,"10028"
2015,"Grant Green","LAA","AAA",27,414,0.04347826,0.169082125,0.257142857,0.306493506,0.336585365,0.449350649,0.785936014,0.142857143,5.328232644305719,0.358730158,-1.1144184581935406,55.00268139688534,3.601120330377054,0.34650085524814883,100.10406962458131,"10053"
2021,"Tomas Telis","MIN","AAA",30,453,0.057395143,0.12803532,0.448275862,0.295508274,0.339955849,0.418439716,0.758395565,0.122931442,3.879932527503187,0.319209039,-0.022125735878944397,60.59334061941083,2.510487555469832,0.33698443479622175,99.55770240559254,"10067"
2017,"Dustin Ackley","LAA","AAA",29,505,0.106930693,0.140594059,0.76056338,0.260770975,0.339960238,0.376417233,0.716377471,0.115646258,4.154426553265046,0.294594594,-0.5059257589746267,58.05625065881162,-8.434758114634464,0.3206407168430245,81.38175377474836,"10099"
2017,"Oswaldo Arcia","ARI","AAA",26,400,0.1125,0.215,0.523255813,0.325513196,0.41,0.639296187,1.049296187,0.313782991,4.372023802499999,0.367088607,-0.15344131854362786,87.13336016705453,34.46721460392892,0.4395137488991396,154.07547223421375,"10306"
2016,"Danny Ortiz","PIT","AAA",26,470,0.053191489,0.193617021,0.274725274,0.236238532,0.275053304,0.415137614,0.690190918,0.178899082,3.793715698195615,0.256716417,-1.986457651015371,45.622257006568894,-4.497630732851046,0.3040986663551741,96.0159755764211,"10317"
2017,"Danny Ortiz","PIT","AAA",27,441,0.0430839,0.181405895,0.2375,0.270072992,0.302961275,0.457420924,0.760382199,0.187347932,3.611354304284783,0.298136645,0.11033442872576416,52.33789073404542,2.1421857970642204,0.32911087991455185,109.8585686132248,"10317"
2019,"Danny Ortiz","MEX","AAA",29,530,0.096226415,0.196226415,0.490384615,0.311688311,0.383018867,0.653679653,1.03669852,0.341991342,2.727566247878639,0.313846153,-0.780667801387608,108.13870374388175,26.354820768303448,0.42056634886183214,120.3182991078519,"10317"
2015,"Danny Ortiz","MIN","AAA",25,526,0.062737642,0.199619771,0.314285714,0.247933884,0.295238095,0.429752066,0.724990161,0.181818182,4.414440085172273,0.279891304,-0.018483540508896112,59.15544880954282,3.640092075147785,0.329563966689219,105.21748996004423,"10317"
2018,"Danny Ortiz","PHI","AAA",28,418,0.045454545,0.241626794,0.188118811,0.232142857,0.270334928,0.397959183,0.668294111,0.165816326,1.629498306766248,0.271428571,-0.4825345586286858,39.40576447391164,-7.6749124989544235,0.2951477906115049,80.20453420849645,"10317"
2015,"Rafael Ortega","STL","AAA",24,502,0.109561752,0.141434262,0.774647887,0.286041189,0.366935483,0.37757437,0.744509853,0.091533181,6.40118520529561,0.336065573,0.4737130654975772,64.59123136523236,2.263734613089451,0.3414209367048861,109.48196974828923,"10323"
2019,"Rafael Ortega","ATL","AAA",28,493,0.119675456,0.192697768,0.621052631,0.28538283,0.373225152,0.524361948,0.8975871,0.238979118,5.578951525452795,0.32278481,-0.3407166168326512,85.44560923339405,18.324260405316736,0.38239412615454293,126.63746656284276,"10323"
