Name,StatCast_ID,FanGraphs_ID
A.J. Burnett,150359,512
A.J. Cole,595918,11467
A.J. Ellis,454560,5677
A.J. Ellis,454560,5677
A.J. Ellis,454560,5677
A.J. Ellis,454560,5677
A.J. Jimenez,543362,7077
A.J. Pierzynski,150229,746
A.J. Pierzynski,150229,746
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Pollock,572041,9256
AJ Reed,607223,16246
AJ Reed,607223,16246
Aaron Altherr,571437,11270
Aaron Altherr,571437,11270
Aaron Altherr,571437,11270
Aaron Altherr,571437,11270
Aaron Altherr,571437,11270
Aaron Blair,594760,14934
Aaron Harang,421685,1451
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hicks,543305,5297
Aaron Hill,431094,6104
Aaron Hill,431094,6104
Aaron Hill,431094,6104
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Judge,592450,15640
Aaron Nola,605400,16149
Aaron Nola,605400,16149
Aaron Nola,605400,16149
Aaron Nola,605400,16149
Aaron Nola,605400,16149
Aaron Nola,605400,16149
Aaron Sanchez,592717,11490
Aaron Sanchez,592717,11490
Aaron Whitefield,664334,19938
Abiatal Avelino,623214,15496
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Almonte,501659,5486
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Abraham Toro,647351,19844
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adalberto Mondesi,609275,13769
Adam Conley,543045,14457
Adam Conley,543045,14457
Adam Conley,543045,14457
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Duvall,594807,10950
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Eaton,594809,11205
Adam Engel,641553,15082
Adam Engel,641553,15082
Adam Engel,641553,15082
Adam Engel,641553,15082
Adam Engel,641553,15082
Adam Engel,641553,15082
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Frazier,624428,15223
Adam Haseley,656514,19878
Adam Haseley,656514,19878
Adam Haseley,656514,19878
Adam Haseley,656514,19878
Adam Haseley,656514,19878
Adam Jones,430945,6368
Adam Jones,430945,6368
Adam Jones,430945,6368
Adam Jones,430945,6368
Adam Jones,430945,6368
Adam LaRoche,425560,1904
Adam Lind,452252,8027
Adam Lind,452252,8027
Adam Lind,452252,8027
Adam Moore,446192,9362
Adam Morgan,605388,12580
Adam Morgan,605388,12580
Adam Rosales,489267,9682
Adam Rosales,489267,9682
Adam Rosales,489267,9682
Adam Rosales,489267,9682
Adam Wainwright,425794,2233
Adam Wainwright,425794,2233
Adam Wainwright,425794,2233
Adam Wainwright,425794,2233
Adam Wainwright,425794,2233
Adam Wainwright,425794,2233
Adbert Alzolay,640470,17859
Addison Russell,608365,14106
Addison Russell,608365,14106
Addison Russell,608365,14106
Addison Russell,608365,14106
Addison Russell,608365,14106
Adeiny Hechavarría,588751,10459
Adeiny Hechavarría,588751,10459
Adeiny Hechavarría,588751,10459
Adeiny Hechavarría,588751,10459
Adeiny Hechavarría,588751,10459
Adeiny Hechavarría,588751,10459
Adley Rutschman,668939,26288
Adley Rutschman,668939,26288
Adley Rutschman,668939,26288
Adley Rutschman,668939,26288
Adolis García,666969,19287
Adolis García,666969,19287
Adolis García,666969,19287
Adolis García,666969,19287
Adolis García,666969,19287
Adolis García,666969,19287
Adonis García,611177,13777
Adonis García,611177,13777
Adonis García,611177,13777
Adrian Beltré,134181,639
Adrian Beltré,134181,639
Adrian Beltré,134181,639
Adrian Beltré,134181,639
Adrian Houser,605288,12718
Adrian Houser,605288,12718
Adrian Sampson,592716,13339
Adrián González,408236,1908
Adrián González,408236,1908
Adrián González,408236,1908
Adrián González,408236,1908
Adrián Sanchez,506703,11338
Adrián Sanchez,506703,11338
Adrián Sanchez,506703,11338
Adrián Sanchez,506703,11338
Akil Baddoo,668731,22168
Akil Baddoo,668731,22168
Akil Baddoo,668731,22168
Akil Baddoo,668731,22168
Akil Baddoo,668731,22168
Alan Trejo,676701,20056
Alan Trejo,676701,20056
Alan Trejo,676701,20056
Alan Trejo,676701,20056
Alan Trejo,676701,20056
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Almora Jr.,546991,14109
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Pujols,405395,1177
Albert Suárez,544150,6175
Alberto Callaspo,430948,3336
Alberto Rosario,451705,7125
Alcides Escobar,444876,6310
Alcides Escobar,444876,6310
Alcides Escobar,444876,6310
Alcides Escobar,444876,6310
Alcides Escobar,444876,6310
Alcides Escobar,444876,6310
Alec Asher,594742,13560
Alec Bohm,664761,21618
Alec Bohm,664761,21618
Alec Bohm,664761,21618
Alec Bohm,664761,21618
Alec Bohm,664761,21618
Alec Bohm,664761,21618
Alec Burleson,676475,27615
Alec Burleson,676475,27615
Alec Burleson,676475,27615
Alec Burleson,676475,27615
Alec Mills,621219,13834
Alec Mills,621219,13834
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Aledmys Díaz,649557,15937
Alejandro De Aza,457477,3371
Alejandro De Aza,457477,3371
Alejandro De Aza,457477,3371
Alejandro Kirk,672386,22581
Alejandro Kirk,672386,22581
Alejandro Kirk,672386,22581
Alejandro Kirk,672386,22581
Alejandro Kirk,672386,22581
Alejandro Kirk,672386,22581
Alejo Lopez,664670,21127
Alejo Lopez,664670,21127
Alek Thomas,677950,23792
Alek Thomas,677950,23792
Alek Thomas,677950,23792
Alek Thomas,677950,23792
Alen Hanson,593700,12926
Alen Hanson,593700,12926
Alen Hanson,593700,12926
Alen Hanson,593700,12926
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Avila,488671,7476
Alex Blandino,607468,16271
Alex Blandino,607468,16271
Alex Blandino,607468,16271
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Bregman,608324,17678
Alex Call,669743,19296
Alex Call,669743,19296
Alex Call,669743,19296
Alex Call,669743,19296
Alex D. Mejia,622270,13877
Alex Dickerson,543105,12649
Alex Dickerson,543105,12649
Alex Dickerson,543105,12649
Alex Dickerson,543105,12649
Alex Dickerson,543105,12649
Alex Gordon,460086,5209
Alex Gordon,460086,5209
Alex Gordon,460086,5209
Alex Gordon,460086,5209
Alex Gordon,460086,5209
Alex Gordon,460086,5209
Alex Guerrero,648717,15670
Alex Jackson,656577,17276
Alex Jackson,656577,17276
Alex Jackson,656577,17276
Alex Jackson,656577,17276
Alex Jackson,656577,17276
Alex Kirilloff,666135,20325
Alex Kirilloff,666135,20325
Alex Kirilloff,666135,20325
Alex Kirilloff,666135,20325
Alex Presley,502100,5305
Alex Presley,502100,5305
Alex Presley,502100,5305
Alex Reyes,621052,15015
Alex Rios,425567,2090
Alex Rodriguez,121347,1274
Alex Rodriguez,121347,1274
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Verdugo,657077,17027
Alex Wood,622072,13781
Alex Wood,622072,13781
Alex Wood,622072,13781
Alex Wood,622072,13781
Alex Wood,622072,13781
Alex Wood,622072,13781
Alex Young,622065,18333
Alexander Canario,672744,22842
Alexander Canario,672744,22842
Alexander Canario,672744,22842
Alexei Ramirez,493351,5133
Alexei Ramirez,493351,5133
Alexi Amarista,506560,9063
Alexi Amarista,506560,9063
Alexi Amarista,506560,9063
Alfonso Rivas III,663845,21560
Alfonso Rivas III,663845,21560
Alfonso Rivas III,663845,21560
Alfredo Simon,430580,2155
Ali Sánchez,645305,18551
Ali Sánchez,645305,18551
Ali Sánchez,645305,18551
Alika Williams,675961,27604
Alika Williams,675961,27604
Allan Dykstra,488852,9113
Allen Craig,501800,3433
Allen Córdoba,642707,15722
Allen Webster,543903,3993
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amed Rosario,642708,15518
Amir Garrett,607237,14375
Anderson Tejeda,660731,19909
Anderson Tejeda,660731,19909
Andre Ethier,444843,6265
Andre Ethier,444843,6265
Andre Ethier,444843,6265
Andre Lipcius,686531,25822
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrelton Simmons,592743,10847
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Benintendi,643217,17901
Andrew Cashner,488768,8782
Andrew Cashner,488768,8782
Andrew Knapp,595284,14942
Andrew Knapp,595284,14942
Andrew Knapp,595284,14942
Andrew Knapp,595284,14942
Andrew Knapp,595284,14942
Andrew Knapp,595284,14942
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Knizner,668800,19514
Andrew Lambo,518911,5386
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew McCutchen,457705,9847
Andrew Romine,461865,1159
Andrew Romine,461865,1159
Andrew Romine,461865,1159
Andrew Romine,461865,1159
Andrew Romine,461865,1159
Andrew Stevenson,664057,17932
Andrew Stevenson,664057,17932
Andrew Stevenson,664057,17932
Andrew Stevenson,664057,17932
Andrew Stevenson,664057,17932
Andrew Stevenson,664057,17932
Andrew Susac,572180,13132
Andrew Susac,572180,13132
Andrew Susac,572180,13132
Andrew Susac,572180,13132
Andrew Suárez,605498,18300
Andrew Toles,592808,13414
Andrew Toles,592808,13414
Andrew Toles,592808,13414
Andrew Vaughn,683734,26197
Andrew Vaughn,683734,26197
Andrew Vaughn,683734,26197
