Season,PA,BB%,K%,BB/K,AVG,OBP,SLG,OPS,ISO,Spd,BABIP,UBR,wGDP,XBR,wSB,wRC,wRAA,wOBA,wRC+
2025,86294,8.6,21.8,0.39,0.247,0.318,0.402,0.72,0.155,4.9,0.293,,,13.6,-3.2,10245,0.7,0.314,100
2024,91611,8.2,22.6,0.36,0.247,0.315,0.404,0.719,0.157,5.1,0.295,30.2,4.2,37.3,25.8,10955,238.4,0.313,100
2023,92210,8.8,22.3,0.39,0.25,0.323,0.417,0.74,0.166,5.0,0.297,21.3,-6.3,18.5,16.2,11424,188.8,0.321,100
2022,91188,8.4,22.6,0.37,0.243,0.314,0.398,0.712,0.155,4.5,0.291,24.3,2.5,-4.2,3.7,10596,169.0,0.312,100
2021,86485,9.2,22.3,0.41,0.249,0.326,0.42,0.747,0.171,4.4,0.295,-4.6,5.7,4.0,-9.8,11010,540.5,0.322,100
2020,33198,9.3,23.1,0.4,0.246,0.325,0.421,0.746,0.175,4.6,0.293,-9.3,-4.8,2.0,-1.4,4242,76.6,0.322,100
2019,88387,8.9,21.9,0.41,0.258,0.331,0.445,0.776,0.187,4.5,0.3,3.1,-8.3,9.8,8.2,11661,540.8,0.327,100
2018,88080,9.0,21.6,0.42,0.254,0.327,0.417,0.744,0.163,4.4,0.301,33.0,8.3,31.9,-9.3,10752,461.6,0.321,100
2017,87753,9.0,21.0,0.43,0.261,0.334,0.437,0.771,0.176,4.4,0.305,5.4,7.7,17.4,-4.2,11280,585.4,0.329,100
2016,87545,8.6,20.5,0.42,0.26,0.33,0.425,0.756,0.165,4.7,0.305,20.2,19.3,30.8,3.5,10782,468.8,0.325,100
2015,86736,7.9,19.9,0.4,0.26,0.324,0.41,0.734,0.15,4.6,0.306,41.4,-18.7,,15.5,10107,354.0,0.318,100
