Name,Age,StatCast_ID,FanGraphs_ID,Season,minor_Level,minor_Team,minor_PA,minor_BB%,minor_K%,minor_BB/K,minor_BA,minor_OBP,minor_SLG,minor_OPS,minor_ISO,minor_Speed,minor_BABIP,minor_wSB,minor_wRC,minor_wRAA,minor_wOBA,minor_wRC+,major_AB,major_PA,major_1B,major_2B,major_3B,major_HR+,major_K,major_BB,major_K%,major_BB%,major_BA,major_SLG,major_OBP,major_OPS,major_ISO,major_BABIP,major_CS,major_SB,major_HBP,major_IBB,major_SF,major_Speed,major_wOBA,major_wRAA,major_wRC
AJ Reed,22,607223,16246,2015,A+,HOU,385,0.153246753,0.189610389,0.808219178,0.345911949,0.449350649,0.638364779,1.087715428,0.29245283,3.74388453375,0.384955752,0.08909056376433,93.02040194459478,43.99298017211476,0.4638083996251225,178.40567294600163,166,190,19,3,0,4,69,22,36.316,11.579,0.157,0.247,0.253,0.5,0.09,0.232,0,0,0,0,2,23.95,0.229,-14.259214966440467,8.55278503355953
AJ Reed,24,607223,16246,2017,AAA,HOU,556,0.129496402,0.262589928,0.493150684,0.260504201,0.357913669,0.525210084,0.883123753,0.264705883,1.639770715,0.299003322,-0.1942651555873453,90.91690812355088,17.710965790806277,0.3767509340808792,125.16883344383275,166,190,19,3,0,4,69,22,36.316,11.579,0.157,0.247,0.253,0.5,0.09,0.232,0,0,0,0,2,23.95,0.229,-14.259214966440467,8.55278503355953
AJ Reed,25,607223,16246,2018,AAA,HOU,540,0.118518518,0.237037037,0.5,0.255411255,0.344444444,0.506493506,0.85093795,0.251082251,3.05357142125,0.284810126,-0.1069275475456379,82.301928234159,11.81076360946799,0.3643969719192391,118.15114036425092,166,190,19,3,0,4,69,22,36.316,11.579,0.157,0.247,0.253,0.5,0.09,0.232,0,0,0,0,2,23.95,0.229,-14.259214966440467,8.55278503355953
Aaron Judge,24,592450,15640,2016,AAA,NYY,410,0.114634146,0.23902439,0.479591836,0.269886363,0.365853658,0.488636363,0.854490021,0.21875,4.6961133002332085,0.319327731,0.7537978366017342,64.39205325510868,20.67044905689128,0.3839724021713908,146.93416467720925,4067,4951,619,201,7,363,1361,806,27.489,16.28,0.293,0.613,0.412,1.025,0.321,0.348,21,64,39,99,32,27.21,0.424,445.0524198637087,1036.7294198637087
Aaron Whitefield,20,664334,19938,2017,A,MIN,460,0.067391304,0.256521739,0.262711864,0.26150121,0.318082788,0.414043583,0.732126371,0.152542373,8.306399240624119,0.33219178,2.8942961487045977,56.590495551897405,2.428307528568628,0.3295257527495055,103.2997667364803,11,11,0,0,0,0,5,0,45.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,-2.708498808578237,-1.4544988085782369
Aaron Whitefield,24,664334,19938,2021,AA,MIN,451,0.093126385,0.248337028,0.375,0.256926952,0.327394209,0.352644836,0.680039045,0.095717884,7.492642590152606,0.335664335,1.6373154146131128,49.53301329723384,-9.28398706206296,0.3100091646026288,80.82244472107799,11,11,0,0,0,0,5,0,45.455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,,0.0,-2.708498808578237,-1.4544988085782369
Abiatal Avelino,20,623214,15496,2015,A+,NYY,446,0.071748878,0.141255605,0.507936507,0.251851851,0.309090909,0.320987654,0.630078563,0.069135803,7.129678844421305,0.289085545,1.949123207014054,42.75351697615987,-2.423130046206649,0.3037053885785016,94.15291976357616,11,11,3,0,0,0,3,0,27.273,0.0,0.273,0.273,0.273,0.546,0.0,0.375,0,0,0,0,0,27.8,0.24,-0.6729200652528546,0.6140799347471454
Abiatal Avelino,21,623214,15496,2016,A+,NYY,394,0.07360406,0.159898477,0.46031746,0.266106442,0.324873096,0.37535014,0.700223236,0.109243698,5.901139705575601,0.30479452,-1.096394681953825,45.44714844972992,2.5260134115924853,0.3288934832902124,105.50783473588751,11,11,3,0,0,0,3,0,27.273,0.0,0.273,0.273,0.273,0.546,0.0,0.375,0,0,0,0,0,27.8,0.24,-0.6729200652528546,0.6140799347471454
Abiatal Avelino,24,623214,15496,2019,AAA,SFG,502,0.045816733,0.167330677,0.273809523,0.283298097,0.314629258,0.44397463,0.758603888,0.160676533,7.202701868910675,0.321052631,0.8868894605548121,59.01090273196639,-16.261131108451472,0.3186385428881501,81.65179835499148,11,11,3,0,0,0,3,0,27.273,0.0,0.273,0.273,0.273,0.546,0.0,0.375,0,0,0,0,0,27.8,0.24,-0.6729200652528546,0.6140799347471454
Abiatal Avelino,26,623214,15496,2021,AAA,CHC,433,0.099307159,0.163972286,0.605633802,0.265789473,0.347222222,0.376315789,0.723538011,0.110526316,5.67457502686484,0.310457516,0.8614160460419953,54.64454951334113,-0.8739391769159399,0.3279716823663976,94.19620565056954,11,11,3,0,0,0,3,0,27.273,0.0,0.273,0.273,0.273,0.546,0.0,0.375,0,0,0,0,0,27.8,0.24,-0.6729200652528546,0.6140799347471454
