Name,StatCast_ID,key_person,key_uuid,key_mlbam,key_retro,key_bbref,key_bbref_minors,key_fangraphs,name_last,name_first,name_given,pro_played_first,pro_played_last
Carlos Ruiz,434563,82fb57c3,82fb57c3-6e9c-4c28-9c90-d7fb682443be,434563,ruizc001,ruizca01,ruiz--002car,2579,Ruiz,Carlos,Carlos Joaquin,2000,2017
Avisaíl García,541645,4ae4ef0f,4ae4ef0f-66c9-4c14-86c2-89883a2b7d8b,541645,garca003,garciav01,garcia001avi,5760,García,Avisaíl,Avisaíl Antonio,2008,2024
Allan Dykstra,488852,57e993cb,57e993cb-f769-426b-884b-2d6ed863a56b,488852,dyksa001,dykstal01,dykstr001all,9113,Dykstra,Allan,Allan Christopher,2008,2015
Jimmy Nelson,519076,4f177a49,4f177a49-c532-4c52-91f8-8a96926683eb,519076,nelsj004,nelsoji02,nelson008jam,10547,Nelson,Jimmy,James Jacob,2010,2023
Matt Garza,490063,337313f5,337313f5-180d-4133-9514-eb3c6c7d1c48,490063,garzm001,garzama01,garza-001mat,3340,Garza,Matt,Matthew Scott,2005,2017
Justin Ruggiano,448605,a8f3f702,a8f3f702-74ca-4461-98d5-202a9f41e4e8,448605,ruggj001,ruggiju01,ruggia001jus,7620,Ruggiano,Justin,Justin Marshall,2004,2017
Josh Phegley,572033,f50d07da,f50d07da-13d9-49cc-9262-eae875cb002d,572033,phegj001,phegljo01,phegle001jos,9308,Phegley,Josh,Joshua Aaron,2009,2020
Josh A. Smith,595001,56d75729,56d75729-8122-4368-9ec6-719cf07e0af8,595001,smitj004,smithjo07,smith-015jos,10946,Smith,Josh,Joshua Allen,2010,2022
Kirk Nieuwenhuis,543590,4735ed06,4735ed06-c9bf-491a-8112-57940c6c7ed8,543590,nieuk001,nieuwki01,nieuwe001kir,6400,Nieuwenhuis,Kirk,Kirk Robert,2008,2019
Mike Foltynewicz,592314,7833ac33,7833ac33-3248-48f0-b847-e87f7936a6b2,592314,foltm001,foltymi01,foltyn001mic,10811,Foltynewicz,Mike,Michael Gary,2010,2021
Brad Hand,543272,132ead8b,132ead8b-eb32-4402-9210-f5fb57cc54ec,543272,handb001,handbr01,hand--001bra,9111,Hand,Brad,Bradley Richard,2008,2023
Chris Parmelee,476633,5379f42e,5379f42e-9317-450c-9929-6ac61a610ba1,476633,parmc001,parmech01,parmel001chr,2554,Parmelee,Chris,Christopher Matthew,2006,2019
Jhonny Peralta,425509,b4853b92,b4853b92-d157-41b4-9900-52c79de61e71,425509,peraj001,peraljh01,peralt001jho,1738,Peralta,Jhonny,Jhonny Antonio,2000,2017
Aaron Hicks,543305,b5cb7a54,b5cb7a54-719f-4bb6-a2b3-7bbf4355cb39,543305,hicka001,hicksaa01,hicks-001aar,5297,Hicks,Aaron,Aaron Michael,2008,2024
Micah Johnson,608672,8d579736,8d579736-f6ec-4479-a7a3-57116b2101d6,608672,johnm006,johnsmi04,johnso018mic,13809,Johnson,Micah,Micah Drew,2012,2018
Steven Baron,571467,ed841422,ed841422-0991-4837-92a1-665c5a8f578c,571467,baros002,baronst01,baron-001ste,9787,Baron,Steven,Steven Phillip,2009,2019
Chad Billingsley,451532,0619993b,0619993b-a8d8-4f4f-9eaf-538af666f74b,451532,billc001,billich01,billin003cha,5842,Billingsley,Chad,Chad Ryan,2003,2015
Jeff Baker,425557,8838ac84,8838ac84-b473-464e-8223-13a7ea1ca100,425557,bakej001,bakerje03,baker-002jef,2073,Baker,Jeff,Jeffrey Glen,2003,2015
Alex Rios,425567,a50c801e,a50c801e-0999-4873-a3fe-2730f7051a16,425567,riosa002,riosal01,rios--001ale,2090,Ríos,Alex,Alexis Israel,1999,2015
Marlon Byrd,407781,a26113fd,a26113fd-bc30-44c4-bd58-f0aac34ea9dc,407781,byrdm001,byrdma01,byrd--001mar,950,Byrd,Marlon,Marlon Jerrard,1999,2016
Michael Bourn,456422,bf125ed9,bf125ed9-2d27-429d-8650-ccfed0a41b41,456422,bourm001,bournmi01,bourn-001mic,6387,Bourn,Michael,Michael Ray,2003,2017
Shin-Soo Choo,425783,42e098b2,42e098b2-a590-4be3-b2e7-990f8f66eac1,425783,choos001,choosh01,choo--001shi,3174,Choo,Shin-Soo,Shin-Soo,2001,2024
Ryan Vogelsong,285064,01305867,01305867-c85f-4ce9-8104-c9eaf9207b70,285064,voger001,vogelry01,vogels001rya,1011,Vogelsong,Ryan,Ryan Andrew,1998,2016
Kyle Kendrick,452718,b290fccd,b290fccd-a4e7-4290-bba8-7ead095117cc,452718,kendk001,kendrky01,kendri001kyl,6230,Kendrick,Kyle,Kyle Rodney,2003,2017
Gio Gonzalez,461829,7a17bcd7,7a17bcd7-be52-4c6e-8aa0-b2bafc1c35cd,461829,gonzg003,gonzagi01,gonzal002gio,7448,Gonzalez,Gio,Giovany Aramis,2004,2020
Jake Lamb,571875,29f8b660,29f8b660-9a49-4fba-99c3-01d576beba0a,571875,lambj001,lambja01,lamb--002jac,13329,Lamb,Jake,Jacob Ryan,2012,2025
Gregorio Petit,463610,ce666268,ce666268-d52f-4684-9f05-21ab958365e1,463610,petig001,petitgr01,petit-001gre,3812,Petit,Gregorio,Gregorio Jesus,2003,2018
Steve Pearce,456665,787544d5,787544d5-a325-4df9-b351-73afd3119749,456665,pears001,pearcst01,pearce002ste,9957,Pearce,Steve,Steven Wayne,2005,2019
Jonathan Herrera,468406,f0e5db8e,f0e5db8e-1984-4be5-a366-70520c056abf,468406,herrj002,herrejo03,herrer001jon,4182,Herrera,Jonathan,Jonathan Alejandro,2003,2017
A.J. Pierzynski,150229,28b48f5c,28b48f5c-d27a-4ceb-8cf6-eafd58c476d4,150229,piera001,pierza.01,pierzy001ant,746,Pierzynski,A. J.,Anthony John,1994,2016
Chris Stewart,455755,f2dd2dd8,f2dd2dd8-0d78-4b16-a4fe-6ebb23d549a6,455755,stewc001,stewach01,stewar002chr,3878,Stewart,Chris,Christopher David,2002,2019
Pedro Ciriaco,465674,21a415e3,21a415e3-2fe8-4a77-bd7a-11a76a5107ae,465674,cirip001,ciriape01,ciriac001ped,5278,Ciriaco,Pedro,Pedro Joel,2005,2017
