"last_name, first_name","player_id","year","player_age","ab","pa","single","double","triple","home_run","strikeout","walk","k_percent","bb_percent","batting_avg","slg_percent","on_base_percent","on_base_plus_slg","isolated_power","babip","r_total_caught_stealing","r_total_stolen_base","b_hit_by_pitch","b_intent_walk","b_sac_fly","woba","sprint_speed"
"Bemboom, Anthony",621532,2022,32,52,59,3,2,0,1,17,6,28.8,10.2,".115",".212",".207","0.419","0.097",".147","0","0","0","0","0",".196","26.9"
"Aguilar, Jesús",542583,2022,32,464,507,74,19,0,16,119,28,23.5,5.5,".235",".379",".281","0.660","0.144",".278","0","1","4","1","5",".288","24.0"
"Schwindel, Frank",643524,2022,30,271,292,43,11,0,8,58,19,19.9,6.5,".229",".358",".277","0.635","0.129",".261","0","0","0","1","2",".278","25.6"
"Martin Jr., Richie",621006,2022,27,30,33,3,0,2,0,10,3,30.3,9.1,".167",".300",".242","0.542","0.133",".250","1","3","0","0","0",".240","28.8"
"VanMeter, Josh",642165,2022,27,171,192,22,5,2,3,45,19,23.4,9.9,".187",".292",".266","0.558","0.105",".232","0","4","0","0","2",".251","26.1"
"Isbel, Kyle",664728,2022,25,256,278,35,10,4,5,75,16,27,5.8,".211",".340",".264","0.604","0.129",".275","6","9","3","0","2",".265","28.0"
"Candelario, Jeimer",600869,2022,28,429,467,59,19,2,13,109,28,23.3,6,".217",".361",".272","0.633","0.144",".257","1","0","6","1","4",".277","27.3"
"Varsho, Daulton",662139,2022,25,531,592,72,23,3,27,145,46,24.5,7.8,".235",".443",".302","0.745","0.208",".269","6","16","7","0","5",".323","28.0"
"Rojas, Josh",668942,2022,28,443,510,84,25,1,9,98,55,19.2,10.8,".269",".391",".349","0.740","0.122",".323","3","23","2","2","5",".326","27.3"
"Arozarena, Randy",668227,2022,27,586,645,90,41,3,20,156,46,24.2,7.1,".263",".445",".327","0.772","0.182",".325","12","32","11","2","2",".336","28.8"
"Walton, Donovan",622268,2022,28,76,78,3,8,0,1,16,1,20.5,1.3,".158",".303",".179","0.482","0.145",".186","0","0","1","0","0",".208","27.6"
