"pitches","player_id","player_name","year","total_pitches","pitch_percent","ba","iso","babip","slg","woba","xwoba","xba","hits","abs","launch_speed","launch_angle","spin_rate","velocity","effective_speed","whiffs","swings","takes","eff_min_vel","release_extension","pos3_int_start_distance","pos4_int_start_distance","pos5_int_start_distance","pos6_int_start_distance","pos7_int_start_distance","pos8_int_start_distance","pos9_int_start_distance","pitcher_run_exp","run_exp","bat_speed","swing_length","pa","bip","singles","doubles","triples","hrs","so","k_percent","bb","bb_percent","api_break_z_with_gravity","api_break_z_induced","api_break_x_arm","api_break_x_batter_in","hyper_speed","bbdist","hardhit_percent","barrels_per_bbe_percent","barrels_per_pa_percent","release_pos_z","release_pos_x","plate_x","plate_z","obp","barrels_total","batter_run_value_per_100","xobp","xslg","pitcher_run_value_per_100","xbadiff","xobpdiff","xslgdiff","wobadiff","swing_miss_percent","arm_angle","attack_angle","attack_direction","swing_path_tilt","rate_ideal_attack_angle","intercept_ball_minus_batter_pos_x_inches","intercept_ball_minus_batter_pos_y_inches"
2633,669392,"Taylor, Samad",2025,2672,98.5,0.282,0.172,0.334,0.454,0.359,0.302,0.229,151,535,86.4,12.6,2289,88.4,88.52,245,1082,1551,0.09999999999999432,6.33,102,148,106,145,298,322,288,"-27.211","27.211",,,617,418,100,27,7,17,122,19.8,73,11.8,2.3728,0.58286,0.27992,0.02427,"90.5",148,29.97601918465228,3.597122302158273,2.4311183144246353,5.81,-0.71,0.21,2.29,0.37,15,"1.033459932",0.326,0.342,"-1.033459932",0.053,0.043999999999999984,0.112,0.057,22.6,,,,,,,
2581,675085,"Long, Jonathon",2025,2581,100,0.304,0.173,0.357,0.478,0.384,0.373,0.274,156,513,90.9,10.3,2231,88.2,88.26,234,1056,1525,0.09999999999999432,6.31,104,150,121,146,295,316,283,"-40.047","40.047",,,606,401,110,23,3,20,116,19.1,79,13,2.35631,0.62433,0.24677,0.09994,"92.2",166,47.103274559193956,10.075566750629724,6.6006600660066,5.78,-0.84,0.13,2.44,0.403,40,"1.551607904",0.381,0.471,"-1.551607904",0.03,0.02200000000000002,0.007,0.011,22.2,,,,,,,
2537,669899,"Ward, Ryan",2025,2537,100,0.29,0.267,0.312,0.557,0.397,0.362,0.27,164,566,91.5,13.6,2205,88,88.06,232,1075,1462,0.09999999999999432,6.31,114,145,122,149,297,326,303,"-51.901","51.901",,,648,446,91,31,6,36,122,18.8,79,12.2,2.46702,0.52348,0.35053,-0.22933,"92.6",174,50.2262443438914,11.312217194570136,7.716049382716049,5.68,-0.66,-0.08,2.38,0.377,50,"2.045762712",0.361,0.467,"-2.045762712",0.02,0.016000000000000014,0.09,0.035,21.6,,,,,,,
2437,687867,"Dungan, Clay",2025,2450,99.5,0.27,0.176,0.34,0.446,0.353,0.309,0.234,141,522,87.5,8.5,2209,88.7,89.04,266,1063,1374,0.29999999999999716,6.31,115,145,108,149,293,323,302,"-19.389","19.389",,,611,387,85,34,8,14,142,23.2,72,11.8,2.39196,0.53546,0.37583,-0.24972,"91.2",155,38.28125,4.6875,2.9459901800327333,5.69,-0.91,-0.08,2.38,0.365,18,"0.795609356",0.336,0.348,"-0.795609356",0.036,0.02899999999999997,0.098,0.044,25,,,,,,,
2379,666632,"Perlaza, Yonathan",2025,2384,99.8,0.302,0.205,0.36,0.507,0.384,0.349,0.272,162,536,90.7,8.4,2161,87.7,87.95,327,1077,1302,0.20000000000000284,6.28,111,146,113,149,299,326,300,"-29.149","29.149",,,617,416,92,49,2,19,125,20.3,72,11.7,2.57103,0.42251,0.34951,-0.34951,"92.6",139,46.116504854368934,7.281553398058252,4.862236628849271,5.7,-0.82,-0.04,2.23,0.386,30,"1.225262715",0.36,0.435,"-1.225262715",0.03,0.026000000000000023,0.072,0.035,30.4,,,,,,,
2358,682617,"Luciano, Marco",2025,2358,100,0.215,0.2,0.277,0.415,0.33,0.325,0.202,99,460,91.2,13.3,2248,87.8,87.86,360,980,1378,0.10000000000000853,6.34,106,149,119,146,303,327,295,"-2.662","2.662",,,552,297,54,21,1,23,169,30.6,84,15.2,2.51199,0.50742,0.26239,0.04901,"92.6",155,45.42372881355932,12.54237288135593,6.702898550724639,5.74,-0.92,0.16,2.28,0.335,37,"0.112892282",0.328,0.401,"-0.112892282",0.013,0.007000000000000006,0.014,0.005,36.7,,,,,,,
2319,701678,"Lee, Hao-Yu ",2025,2319,100,0.243,0.163,0.292,0.406,0.329,0.339,0.243,121,497,89.8,11.6,2279,88.4,88.42,274,1072,1247,0,6.32,106,151,118,147,294,317,282,"-6.684","6.684",,,578,381,76,23,8,14,121,20.9,64,11.1,2.3591,0.62704,0.23959,0.09516,"91.9",175,44.80874316939891,9.289617486338798,5.88235294117647,5.78,-0.96,0.14,2.35,0.341,34,"0.288227684",0.347,0.414,"-0.288227684",0,-0.00599999999999995,-0.008,-0.01,25.6,,,,,,,
2276,681198,"Rumfield, T.J.",2025,2276,100,0.285,0.162,0.329,0.447,0.36,0.34,0.258,142,499,87.8,17,2217,87.9,87.85,242,1127,1149,0,6.3,113,145,122,150,289,324,294,"-17.195","17.195",,,586,399,94,31,1,16,108,18.4,69,11.8,2.47589,0.53446,0.32112,-0.26329,"91.5",164,36.868686868686865,6.313131313131313,4.266211604095563,5.7,-1.29,-0.14,2.44,0.377,25,"0.755492091",0.357,0.407,"-0.755492091",0.027,0.020000000000000018,0.04,0.02,21.5,,,,,,,
2243,621458,"Ríos, Edwin",2025,2243,100,0.246,0.222,0.331,0.468,0.347,0.331,0.226,116,472,92,13.4,2173,87.6,87.74,366,1003,1240,0.10000000000000853,6.35,114,144,123,150,292,320,293,"-7.787","7.787",,,546,298,65,23,2,26,180,33,63,11.5,2.49528,0.53266,0.2665,-0.22016,"92.4",158,52.20338983050847,14.237288135593221,7.6923076923076925,5.85,-0.94,-0.08,2.36,0.337,42,"0.34716897",0.322,0.437,"-0.34716897",0.02,0.015000000000000013,0.031,0.016,36.5,,,,,,,
2215,694359,"Kavadas, Niko",2025,2216,100,0.231,0.24,0.294,0.471,0.359,0.342,0.213,99,429,90.6,18.5,2211,88.5,88.82,264,829,1386,0.29999999999999716,6.3,114,145,120,150,298,332,303,"-17.873","17.873",,,519,272,53,16,3,27,161,31,72,13.9,2.4574,0.47604,0.32612,-0.23236,"92.3",174,46.666666666666664,14.814814814814813,7.7071290944123305,5.73,-1.03,-0.13,2.3,0.356,40,"0.806907449",0.344,0.428,"-0.806907449",0.018,0.01200000000000001,0.043,0.017,31.8,,,,,,,
2184,690984,"Halpin, Petey",2025,2193,99.6,0.244,0.167,0.326,0.411,0.317,0.295,0.223,118,484,87.7,23.3,2201,88.6,88.45,288,1110,1074,-0.09999999999999432,6.29,116,145,109,151,282,317,286,"2.944","-2.944",,,544,333,70,29,5,14,156,28.7,51,9.4,2.36643,0.61785,0.3321,-0.26051,"90.6",190,35.24096385542169,9.036144578313253,5.514705882352941,5.83,-1.03,-0.12,2.42,0.317,30,"-0.134798535",0.299,0.369,"0.134798535",0.021,0.018000000000000016,0.042,0.022,25.9,,,,,,,
2160,690976,"Freeland, Alex",2025,2160,100,0.263,0.188,0.315,0.451,0.364,0.354,0.252,109,415,91.6,12.4,2184,88.3,88.3,197,831,1329,0,6.27,112,147,114,148,296,323,296,"-20.405","20.405",,,507,311,63,30,0,16,111,21.9,82,16.2,2.43697,0.5259,0.40774,-0.40774,"92.2",160,47.58842443729904,7.717041800643088,4.733727810650888,5.68,-0.74,0.01,2.33,0.383,24,"0.944675926",0.378,0.412,"-0.944675926",0.011,0.0050000000000000044,0.039,0.01,23.7,,,,,,,
2145,690291,"Jung, Jace",2025,2145,100,0.252,0.194,0.318,0.447,0.357,0.356,0.239,104,412,90.5,19,2199,88.2,88.12,263,914,1231,-0.10000000000000853,6.27,115,145,119,151,287,319,291,"-13.038","13.038",,,495,291,59,27,1,17,125,25.3,78,15.8,2.4061,0.59746,0.36073,-0.29843,"91.8",186,46.808510638297875,12.76595744680851,7.2727272727272725,5.79,-0.85,-0.08,2.37,0.37,36,"0.607832168",0.361,0.451,"-0.607832168",0.013,0.009000000000000008,-0.004,0.001,28.8,,,,,,,
2142,670351,"Rojas, Jose",2025,2143,100,0.285,0.312,0.308,0.598,0.41,0.35,0.237,127,445,92.3,20.8,2200,88.3,88.28,221,975,1167,0,6.32,114,145,119,151,290,324,294,"-39.1","39.1",,,515,340,56,35,4,32,108,21,64,12.4,2.38356,0.59029,0.37248,-0.28202,"92.4",172,45.40059347181009,13.353115727002967,8.737864077669903,5.71,-1.19,-0.11,2.38,0.377,45,"1.825396825",0.337,0.472,"-1.825396825",0.048,0.03999999999999998,0.126,0.06,22.7,,,,,,,
2139,665846,"Bastidas, Jesús",2025,2141,99.9,0.262,0.178,0.33,0.44,0.346,0.309,0.228,131,500,86.9,19.9,2262,88.6,88.73,323,1096,1043,0.10000000000000853,6.3,106,151,119,146,298,320,289,"-13.382","13.382",,,574,365,76,37,2,16,138,24,53,9.2,2.36992,0.56955,0.27072,0.04631,"91.1",170,34.44444444444444,6.111111111111111,3.8327526132404177,5.74,-0.7,0.27,2.37,0.351,22,"0.625619448",0.323,0.365,"-0.625619448",0.034,0.02799999999999997,0.075,0.037,29.5,,,,,,,
